ID da viagem,Nome próprio,E-mail,ID do colaborador,Endereço de recolha,Endereço de entrega,Data/Hora de início,Data/Hora de término,Programa / Grupo,Tipo de transação,Montante da transação,Moeda,Total de débitos,Outras Promoções,Método de pagamento,URL da fatura
7b5e9f1a-5678-1234-bcde-f01234567891,Claus Miranda,claus.driver@email.com,FROTA_01,"Centro, São Mateus - ES","Bairro Carapina, São Mateus - ES",2026-05-15 10:51:00,2026-05-15 11:06:00,Motoristas_Noturnos,Tarifa base,20.48,BRL,20.48,3.0,Corporativo_Faturado,https://receipts.uber.com/v1/7b5e9f1a
7b5e9f1a-5678-1234-bcde-f01234567891,Marcos Souza,marcos.souza@email.com,FROTA_04,"Av. José Tozzi, 1200 - São Mateus, ES","Bairro Guriri, São Mateus - ES",2026-05-15 06:40:00,2026-05-15 06:50:00,Motoristas_Noturnos,Tarifa base,20.31,BRL,20.31,3.0,Uber_Conta,https://receipts.uber.com/v1/7b5e9f1a
7b5e9f1a-5678-1234-bcde-f01234567891,Marcos Souza,marcos.souza@email.com,FROTA_04,"Av. José Tozzi, 1200 - São Mateus, ES","Bairro Guriri, São Mateus - ES",2026-05-15 06:40:00,2026-05-15 06:50:00,Motoristas_Noturnos,Gorjeta,9.3,BRL,29.61,0.0,Uber_Conta,https://receipts.uber.com/v1/7b5e9f1a
2a0f4e6f-5678-9012-abcd-e56789012345,Carlos Silva,carlos.silva@email.com,FROTA_02,"Bairro Boa Vista, São Mateus - ES","Rodoviária de São Mateus, ES",2026-05-15 10:54:00,2026-05-15 11:27:00,Motoristas_Diurnos,Tarifa base,45.03,BRL,45.03,0.0,Uber_Conta,https://receipts.uber.com/v1/2a0f4e6f
0e8f2c4d-7890-1234-bcde-c34567890123,Carlos Silva,carlos.silva@email.com,FROTA_02,"Rod. Othovarino Duarte Santos, 500 - São Mateus, ES","Centro, São Mateus - ES",2026-05-15 11:54:00,2026-05-15 12:05:00,Motoristas_Diurnos,Tarifa base,15.52,BRL,15.52,0.0,Cartao_Credito,https://receipts.uber.com/v1/0e8f2c4d
0e8f2c4d-7890-1234-bcde-c34567890123,Claus Miranda,claus.driver@email.com,FROTA_01,"Centro, São Mateus - ES","Bairro Carapina, São Mateus - ES",2026-05-15 14:00:00,2026-05-15 14:25:00,Motoristas_Noturnos,Tarifa base,16.74,BRL,16.74,0.0,Corporativo_Faturado,https://receipts.uber.com/v1/0e8f2c4d
1f9f3d5e-1234-5678-cdef-d45678901234,Carlos Silva,carlos.silva@email.com,FROTA_02,"Centro, São Mateus - ES","Bairro Carapina, São Mateus - ES",2026-05-15 07:21:00,2026-05-15 07:30:00,Motoristas_Diurnos,Tarifa base,37.13,BRL,37.13,0.0,Corporativo_Faturado,https://receipts.uber.com/v1/1f9f3d5e
7b5e9f1a-5678-1234-bcde-f01234567891,Marcos Souza,marcos.souza@email.com,FROTA_04,"R. Dr. Arlindo Sodré, 450 - São Mateus, ES","Hospital Roberto Silvares, São Mateus - ES",2026-05-15 13:54:00,2026-05-15 14:22:00,Motoristas_Noturnos,Tarifa base,43.7,BRL,43.7,0.0,Cartao_Credito,https://receipts.uber.com/v1/7b5e9f1a
7b5e9f1a-5678-1234-bcde-f01234567891,Marcos Souza,marcos.souza@email.com,FROTA_04,"R. Dr. Arlindo Sodré, 450 - São Mateus, ES","Hospital Roberto Silvares, São Mateus - ES",2026-05-15 13:54:00,2026-05-15 14:22:00,Motoristas_Noturnos,Pedágio,5.04,BRL,48.74,0.0,Uber_Conta,https://receipts.uber.com/v1/7b5e9f1a
7b5e9f1a-5678-1234-bcde-f01234567891,Carlos Silva,carlos.silva@email.com,FROTA_02,"Guriri Beach, São Mateus - ES","Av. José Tozzi, São Mateus - ES",2026-05-15 10:20:00,2026-05-15 10:33:00,Motoristas_Diurnos,Tarifa base,29.57,BRL,29.57,0.0,Uber_Conta,https://receipts.uber.com/v1/7b5e9f1a
